Time,Type,Gesture,Foot,Direction,Checkpoint,TrackerName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z
1675281183795, E, NormalWalking, bothfoot, RecordingForth,,,,,,,,
1675281183796, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183797, I, TrackerR,,,,, -0.81606, 1.90364, -5.77158, 277.1994, 292.46671, 245.3033
1675281183797, I, TrackerH,,,,, -0.81606, 1.90364, -5.77158, 277.1994, 292.46671, 245.30331
1675281183797, I, FootR,,,,, -0.81606, 1.90364, -5.77158, 277.1994, 292.46671, 245.3033
1675281183797, I, Head,,,,, -0.81606, 1.90364, -5.77158, 277.1994, 292.46671, 245.30331
1675281183805, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183805, I, TrackerR,,,,, -0.81624, 1.90359, -5.7715, 277.2186, 292.62332, 245.1206
1675281183805, I, TrackerH,,,,, -0.81624, 1.90359, -5.7715, 277.2186, 292.62332, 245.12056
1675281183806, I, FootR,,,,, -0.81624, 1.90359, -5.7715, 277.2186, 292.62332, 245.1206
1675281183806, I, Head,,,,, -0.81624, 1.90359, -5.7715, 277.2186, 292.62332, 245.12056
1675281183818, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183818, I, TrackerR,,,,, -0.81631, 1.90368, -5.77147, 277.22839, 292.66833, 245.0648
1675281183818, I, TrackerH,,,,, -0.81631, 1.90368, -5.77147, 277.22839, 292.66833, 245.06479
1675281183818, I, FootR,,,,, -0.81631, 1.90368, -5.77147, 277.22839, 292.66833, 245.0648
1675281183819, I, Head,,,,, -0.81631, 1.90368, -5.77147, 277.22839, 292.66833, 245.06479
1675281183828, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183828, I, TrackerR,,,,, -0.81652, 1.90388, -5.77137, 277.25797, 292.78769, 244.9226
1675281183829, I, TrackerH,,,,, -0.81652, 1.90388, -5.77137, 277.25797, 292.78769, 244.92258
1675281183829, I, FootR,,,,, -0.81652, 1.90388, -5.77137, 277.25797, 292.78769, 244.9226
1675281183829, I, Head,,,,, -0.81652, 1.90388, -5.77137, 277.25797, 292.78769, 244.92258
1675281183838, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183838, I, TrackerR,,,,, -0.81668, 1.90379, -5.77131, 277.28662, 292.85464, 244.8359
1675281183838, I, TrackerH,,,,, -0.81668, 1.90379, -5.77131, 277.28662, 292.85464, 244.83589
1675281183838, I, FootR,,,,, -0.81668, 1.90379, -5.77131, 277.28662, 292.85464, 244.8359
1675281183838, I, Head,,,,, -0.81668, 1.90379, -5.77131, 277.28662, 292.85464, 244.83589
1675281183850, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183850, I, TrackerR,,,,, -0.81677, 1.90349, -5.77119, 277.28229, 292.94379, 244.7321
1675281183850, I, TrackerH,,,,, -0.81677, 1.90349, -5.77119, 277.28229, 292.94379, 244.73215
1675281183850, I, FootR,,,,, -0.81677, 1.90349, -5.77119, 277.28229, 292.94379, 244.7321
1675281183850, I, Head,,,,, -0.81677, 1.90349, -5.77119, 277.28229, 292.94379, 244.73215
1675281183861, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183861, I, TrackerR,,,,, -0.8165, 1.90353, -5.7706, 277.27054, 292.98572, 244.6774
1675281183861, I, TrackerH,,,,, -0.8165, 1.90353, -5.7706, 277.27054, 292.98572, 244.67735
1675281183861, I, FootR,,,,, -0.8165, 1.90353, -5.7706, 277.27054, 292.98572, 244.6774
1675281183861, I, Head,,,,, -0.8165, 1.90353, -5.7706, 277.27054, 292.98572, 244.67735
1675281183871, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183872, I, TrackerR,,,,, -0.81674, 1.90338, -5.77061, 277.27332, 292.9516, 244.6778
1675281183872, I, TrackerH,,,,, -0.81674, 1.90338, -5.77061, 277.27332, 292.9516, 244.6778
1675281183872, I, FootR,,,,, -0.81674, 1.90338, -5.77061, 277.27332, 292.9516, 244.6778
1675281183872, I, Head,,,,, -0.81674, 1.90338, -5.77061, 277.27332, 292.9516, 244.6778
1675281183882, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183883, I, TrackerR,,,,, -0.817, 1.9036, -5.77042, 277.29462, 293.03903, 244.5701
1675281183883, I, TrackerH,,,,, -0.817, 1.9036, -5.77042, 277.29462, 293.03903, 244.57014
1675281183883, I, FootR,,,,, -0.817, 1.9036, -5.77042, 277.29462, 293.03903, 244.5701
1675281183883, I, Head,,,,, -0.817, 1.9036, -5.77042, 277.29462, 293.03903, 244.57014
1675281183897, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183897, I, TrackerR,,,,, -0.81719, 1.90347, -5.77052, 277.32483, 293.07825, 244.502
1675281183897, I, TrackerH,,,,, -0.81719, 1.90347, -5.77052, 277.32483, 293.07825, 244.50195
1675281183897, I, FootR,,,,, -0.81719, 1.90347, -5.77052, 277.32483, 293.07825, 244.502
1675281183897, I, Head,,,,, -0.81719, 1.90347, -5.77052, 277.32483, 293.07825, 244.50195
1675281183907, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183907, I, TrackerR,,,,, -0.81738, 1.90333, -5.77037, 277.36615, 293.28235, 244.2638
1675281183907, I, TrackerH,,,,, -0.81738, 1.90333, -5.77037, 277.36615, 293.28235, 244.26376
1675281183908, I, FootR,,,,, -0.81738, 1.90333, -5.77037, 277.36615, 293.28235, 244.2638
1675281183908, I, Head,,,,, -0.81738, 1.90333, -5.77037, 277.36615, 293.28235, 244.26376
1675281183915, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183915, I, TrackerR,,,,, -0.81765, 1.90329, -5.77017, 277.41055, 293.32953, 244.1647
1675281183915, I, TrackerH,,,,, -0.81765, 1.90329, -5.77017, 277.41055, 293.32953, 244.1647
1675281183916, I, FootR,,,,, -0.81765, 1.90329, -5.77017, 277.41055, 293.32953, 244.1647
1675281183916, I, Head,,,,, -0.81765, 1.90329, -5.77017, 277.41055, 293.32953, 244.1647
1675281183927, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183927, I, TrackerR,,,,, -0.8181, 1.90319, -5.77025, 277.44476, 293.43369, 244.0147
1675281183928, I, TrackerH,,,,, -0.8181, 1.90319, -5.77025, 277.44476, 293.43369, 244.01474
1675281183928, I, FootR,,,,, -0.8181, 1.90319, -5.77025, 277.44476, 293.43369, 244.0147
1675281183928, I, Head,,,,, -0.8181, 1.90319, -5.77025, 277.44476, 293.43369, 244.01474
1675281183944, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183944, I, TrackerR,,,,, -0.81837, 1.90315, -5.77007, 277.47845, 293.53082, 243.8732
1675281183944, I, TrackerH,,,,, -0.81837, 1.90315, -5.77007, 277.47845, 293.53082, 243.87317
1675281183944, I, FootR,,,,, -0.81837, 1.90315, -5.77007, 277.47845, 293.53082, 243.8732
1675281183944, I, Head,,,,, -0.81837, 1.90315, -5.77007, 277.47845, 293.53082, 243.87317
1675281183954, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183954, I, TrackerR,,,,, -0.81878, 1.90312, -5.76989, 277.49908, 293.47623, 243.879
1675281183955, I, TrackerH,,,,, -0.81878, 1.90312, -5.76989, 277.49908, 293.47623, 243.87897
1675281183955, I, FootR,,,,, -0.81878, 1.90312, -5.76989, 277.49908, 293.47623, 243.879
1675281183955, I, Head,,,,, -0.81878, 1.90312, -5.76989, 277.49908, 293.47623, 243.87897
1675281183962, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183962, I, TrackerR,,,,, -0.8191, 1.90306, -5.7697, 277.52164, 293.51437, 243.7862
1675281183962, I, TrackerH,,,,, -0.8191, 1.90306, -5.7697, 277.52164, 293.51437, 243.78619
1675281183962, I, FootR,,,,, -0.8191, 1.90306, -5.7697, 277.52164, 293.51437, 243.7862
1675281183962, I, Head,,,,, -0.8191, 1.90306, -5.7697, 277.52164, 293.51437, 243.78619
1675281183971, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183971, I, TrackerR,,,,, -0.81936, 1.90269, -5.76937, 277.54248, 293.64056, 243.6082
1675281183971, I, TrackerH,,,,, -0.81936, 1.90269, -5.76937, 277.54248, 293.64056, 243.60822
1675281183972, I, FootR,,,,, -0.81936, 1.90269, -5.76937, 277.54248, 293.64056, 243.6082
1675281183972, I, Head,,,,, -0.81936, 1.90269, -5.76937, 277.54248, 293.64056, 243.60822
1675281183982, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183982, I, TrackerR,,,,, -0.81964, 1.90257, -5.76932, 277.57101, 293.65833, 243.533
1675281183982, I, TrackerH,,,,, -0.81964, 1.90257, -5.76932, 277.57101, 293.65833, 243.53296
1675281183983, I, FootR,,,,, -0.81964, 1.90257, -5.76932, 277.57101, 293.65833, 243.533
1675281183983, I, Head,,,,, -0.81964, 1.90257, -5.76932, 277.57101, 293.65833, 243.53296
1675281183993, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281183993, I, TrackerR,,,,, -0.82, 1.9025, -5.76908, 277.6058, 293.75369, 243.3954
1675281183994, I, TrackerH,,,,, -0.82, 1.9025, -5.76908, 277.6058, 293.75369, 243.39536
1675281183994, I, FootR,,,,, -0.82, 1.9025, -5.76908, 277.6058, 293.75369, 243.3954
1675281183994, I, Head,,,,, -0.82, 1.9025, -5.76908, 277.6058, 293.75369, 243.39536
1675281184005, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184006, I, TrackerR,,,,, -0.82041, 1.90269, -5.76903, 277.63843, 293.7731, 243.3043
1675281184006, I, TrackerH,,,,, -0.82041, 1.90269, -5.76903, 277.63843, 293.7731, 243.30429
1675281184006, I, FootR,,,,, -0.82041, 1.90269, -5.76903, 277.63843, 293.7731, 243.3043
1675281184006, I, Head,,,,, -0.82041, 1.90269, -5.76903, 277.63843, 293.7731, 243.30429
1675281184015, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184016, I, TrackerR,,,,, -0.82086, 1.90289, -5.76864, 277.68713, 293.80075, 243.2219
1675281184016, I, TrackerH,,,,, -0.82086, 1.90289, -5.76864, 277.68713, 293.80075, 243.22188
1675281184017, I, FootR,,,,, -0.82086, 1.90289, -5.76864, 277.68713, 293.80075, 243.2219
1675281184017, I, Head,,,,, -0.82086, 1.90289, -5.76864, 277.68713, 293.80075, 243.22188
1675281184026, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184027, I, TrackerR,,,,, -0.8214, 1.90295, -5.7683, 277.742, 293.91147, 243.0356
1675281184027, I, TrackerH,,,,, -0.8214, 1.90295, -5.7683, 277.742, 293.91147, 243.03561
1675281184027, I, FootR,,,,, -0.8214, 1.90295, -5.7683, 277.742, 293.91147, 243.0356
1675281184027, I, Head,,,,, -0.8214, 1.90295, -5.7683, 277.742, 293.91147, 243.03561
1675281184038, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
