gesture,foot,direction,camera,first/second,timestamp
KickForward,leftfoot,RecordingBack,cam1,first,1677258716504
KickForward,leftfoot,RecordingBack,cam1,second,1677258718804
KickForward,leftfoot,RecordingForth,cam1,first,1677258705075
KickForward,leftfoot,RecordingForth,cam1,second,1677258707508
KickForward,rightfoot,RecordingBack,cam1,first,1677258692325
KickForward,rightfoot,RecordingBack,cam1,second,1677258694425
KickForward,rightfoot,RecordingForth,cam1,first,1677258681473
KickForward,rightfoot,RecordingForth,cam1,second,1677258684006
Delay,leftfoot,RecordingBack,cam1,first,1677258232340
Delay,leftfoot,RecordingBack,cam1,second,1677258234740
Delay,leftfoot,RecordingForth,cam1,first,1677258221789
Delay,leftfoot,RecordingForth,cam1,second,1677258224123
Delay,rightfoot,RecordingBack,cam1,first,1677258208962
Delay,rightfoot,RecordingBack,cam1,second,1677258211328
Delay,rightfoot,RecordingForth,cam1,first,1677258198354
Delay,rightfoot,RecordingForth,cam1,second,1677258200721
BigStep,leftfoot,RecordingBack,cam1,first,1677258053567
BigStep,leftfoot,RecordingBack,cam1,second,1677258055767
BigStep,leftfoot,RecordingForth,cam1,first,1677258042437
BigStep,leftfoot,RecordingForth,cam1,second,1677258045003
BigStep,rightfoot,RecordingBack,cam1,first,1677258028720
BigStep,rightfoot,RecordingBack,cam1,second,1677258030987
BigStep,rightfoot,RecordingForth,cam1,first,1677258017514
BigStep,rightfoot,RecordingForth,cam1,second,1677258020114
BendingBehind,rightfoot,RecordingBack,cam1,first,1677257786640
BendingBehind,rightfoot,RecordingBack,cam1,second,1677257789139
BendingBehind,rightfoot,RecordingForth,cam1,first,1677257773466
BendingBehind,rightfoot,RecordingForth,cam1,second,1677257776833
BendingBehind,leftfoot,RecordingBack,cam1,first,1677257759972
BendingBehind,leftfoot,RecordingBack,cam1,second,1677257762372
BendingBehind,leftfoot,RecordingForth,cam1,first,1677257747610
BendingBehind,leftfoot,RecordingForth,cam1,second,1677257750210
TapWithHeel,rightfoot,RecordingBack,cam1,first,1677257497109
TapWithHeel,rightfoot,RecordingBack,cam1,second,1677257499942
TapWithHeel,rightfoot,RecordingForth,cam1,first,1677257485238
TapWithHeel,rightfoot,RecordingForth,cam1,second,1677257487971
TapWithHeel,leftfoot,RecordingBack,cam1,first,1677257472474
TapWithHeel,leftfoot,RecordingBack,cam1,second,1677257475341
TapWithHeel,leftfoot,RecordingForth,cam1,first,1677257461646
TapWithHeel,leftfoot,RecordingForth,cam1,second,1677257464813
